sourcePostId,sourceUrl,publishedAt,origin,brand,model,year,trim,mileage,engine,powerHp,consumption,transmission,drive,safety,interior,damage,vin,auctionDate,estimatedBidUsd,priceRub,customsRub,lot,calculationDate,photos,rawText
230,https://t.me/AutoWorld_Georgia/230,2025-09-23T05:01:18+00:00,,Mercedes-Benz,GLB250,2022,,38000км,2.0-turbo на 211л.с.,211.0,,АКПП,4MATIK,целая!!!,из качественной кожи,,W1N4M4HB3PW261061,,,,,23090514,,,"🚀
🌟
Mercedes-Benz GLB250 08/22г.
🚗
✨
🔹
Пробег:  38000км
👍
🔹
Двигатель:  2.0-turbo на 211л.с.
🐎
💨
🔹
Коробка:  АКПП
🔹
Привод:  4MATIK
❄️
⛈
🌪
🔹
Кузов : 100% ""РОДНЯ""
🚘
👌
🔹
Безопасность целая!!!
🔐
🔹
Салон из качественной кожи
🐄
🛋
🔹
VIN:  W1N4M4HB3PW261061
💰
Цена: всего 3,680,000
🪙
🇷🇺
под ключ!
🔑
🔎
АИГ23090514РР"
240,https://t.me/AutoWorld_Georgia/240,2025-09-23T05:42:22+00:00,,AUDI,Q5 S-Line,2022,,48000км,2.0-turbo на 261л.с.,261.0,,S-Tronic,QUATTRO ultra,целая!!!,из качественной кожи,,WA1EAAFY3N2099747,,,,,23090531,,,"🚀
🌟
AUDI Q5 S-Line 04/22г.
🚗
✨
🔹
Premium Plus 45 TFSI
🔹
Пробег:  48000км
👍
🔹
Двигатель:  2.0-turbo на 261л.с.
🐎
💨
🔹
Коробка:  S-Tronic
🔹
Привод:  QUATTRO ultra
❄️
⛈
🌪
🔹
Кузов : 100% ""РОДНЯ""
🚘
👌
🔹
Безопасность целая!!!
🔐
🔹
Салон из качественной кожи
🐄
🛋
🔹
VIN:  WA1EAAFY3N2099747
💰
Цена: всего 3,900,000
🪙
🇷🇺
под ключ!
🔑
🔎
АИГ23090531РР"
250,https://t.me/AutoWorld_Georgia/250,2025-09-23T06:13:51+00:00,,KIA,K5,2022,,71500км,"1,6-turbo на 180л.с.",180.0,,АКПП-8,передний FWD,,из кожи,,,,,,,23090518,,,"🚀
🌟
KIA K5  07/22г.
🚗
✨
🔹
Комплектации  GT-Line
🔹
Пробег:  71500км
👍
🔹
Двигатель:  1,6-turbo на 180л.с.
🐎
💨
🔹
Коробка:  АКПП-8
🔹
Привод:  передний FWD
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 2.450,000
🪙
🇷🇺
под ключ!
🔑
🔎
АИГ23090518РР"
323,https://t.me/AutoWorld_Georgia/323,2025-10-07T09:58:25+00:00,,Volkswagen,Taos,2021,SE,47000 ml (76000км),"1,5turbo на 158л.с.",158.0,,АКПП-8,полный AWD,"""завод""!!!",🛋,,,,,,,,,,"🚀
🌟
Volkswagen Taos 11/21г.
🚗
✨
🔹
комплектация SE
🔹
Пробег:  47000 ml (76000км)
👍
🔹
Двигатель:  1,5turbo на 158л.с.
🐎
💨
🔹
Коробка:  АКПП-8
🔹
Привод: полный AWD
🔹
Безопасность ""завод""!!!
🔹
Комбинированный салон
🛋
📜
Историю автомобиля предоставлю по запросу!  (без удара, притëртая)
💰
Цена: всего 2 180 000
🪙
🇷🇺
под ключ!
🔑
🔎
54МА1184458ИС"
333,https://t.me/AutoWorld_Georgia/333,2025-10-08T04:14:24+00:00,,Hyundai,Sonata,2021,Limited,26500км.,"1,6turbo на 184л.с.",184.0,,АКПП-8,передний FWD,"""завод""!!!",из кожи,,,,,,,06100641,,,"🚀
🌟
Hyundai Sonata 02/21г.
🚗
✨
🔹
комплектация Limited
🔹
Пробег:  26500км.
👍
🔹
Двигатель:  1,6turbo на 184л.с.
🐎
💨
🔹
Коробка:  АКПП-8
🔹
Привод: передний FWD
🔹
Безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 2 650 000
🇷🇺
🪙
под ключ!
🔑
🔎
АИГ06100641ИC"
342,https://t.me/AutoWorld_Georgia/342,2025-10-08T07:18:00+00:00,,Hyundai,Tucson,2022,N-line,121 500км.,"надежный атмосферный 2,5л.на 191л.с.",191.0,,АКПП-8,полный AWD,"""завод""!!!",из кожи,,,,,,,06100641,,,"🚀
🌟
Hyundai Tucson 03/22г.
🚗
✨
🔹
комплектация N-line
🔹
Пробег:  121 500км.
👍
🔹
Двигатель:  надежный атмосферный 2,5л.на 191л.с.
🐎
💨
🔹
Коробка:  АКПП-8
🔹
Привод: полный AWD
🔹
Безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 2 500 000
🇷🇺
🪙
под ключ!
🔑
🔎
АИГ06100641И0ИC"
352,https://t.me/AutoWorld_Georgia/352,2025-10-08T11:27:15+00:00,,KIA,SELTOS,2022,S,30700км.,"надежный атмосферник 2,0л. на 146л.с.",146.0,,АКПП,передний FWD,"все ""завод"", кроме руля!",комбинированный,,,,,,,08101240,,,"🌟
KIA SELTOS 04/22г.
🚗
✨
🔹
комплектация S
🔹
Пробег:  30700км.
👍
🔹
Двигатель:  надежный атмосферник 2,0л. на 146л.с.
🐎
💨
🔹
Коробка:  АКПП
🔹
Привод: передний FWD
🔹
Безопасность: все ""завод"", кроме руля!
🔹
Салон комбинированный
🛋
📜
История незначительная, предоставлю по запросу!
💰
Цена: всего 2 170 000
🇷🇺
🪙
под ключ!
🔑
🔎
АИГ08101240ИC"
363,https://t.me/AutoWorld_Georgia/363,2025-10-08T18:43:18+00:00,,Audi,Q7,2021,Premium,47 000км.,"надежный 2,0л. на 248л.с.",248.0,,АКПП,полный AWD,"""завод""!!!",из кожи,,,,,,,08102121,,,"🚀
🌟
Audi Q7 12/21г.
🚗
✨
🔹
комплектация Premium
🔹
Пробег:  47 000км.
👍
🔹
Двигатель:  надежный 2,0л. на 248л.с.
🐎
💨
🔹
Коробка:  АКПП
🔹
Привод: полный AWD
🔹
Кузов и безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля минимальная (бампер) , предоставлю по запросу!
💰
Цена: всего 4 820 000
🇷🇺
🪙
под ключ!
🔑
🔎
АРГ08102121ИC"
371,https://t.me/AutoWorld_Georgia/371,2025-10-11T07:21:59+00:00,,VW,Tiguan Allspace II,2021,SE,103 000км.,"надежный 2,0л. на 184л.с.",184.0,,АКПП,полный AWD,"""завод""!!!",из кожи,,,,,,,,,,"🚀
🌟
VW Tiguan Allspace II 01/21г.
🚗
✨
🔹
комплектация SE
🔹
Пробег:  103 000км.
👍
🔹
Двигатель:  надежный 2,0л. на 184л.с.
🐎
💨
🔹
Коробка:  АКПП
🔹
Привод: полный AWD
🔹
Безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля незначительная (сзади), предоставлю по запросу!
💰
Цена: всего 2 300 000
🇷🇺
🪙
под ключ!
🔑
🔎
94МА1178589ИC"
379,https://t.me/AutoWorld_Georgia/379,2025-10-12T12:04:30+00:00,,VW,Tiguan Allspace II,2021,SE R-line,81 000км.,"надежный 2,0л. на 184л.с.",184.0,,АКПП,полный AWD,,из кожи,,,,,,,,,,"🚀
🌟
VW Tiguan Allspace II 04/21г.
🚗
✨
🔹
комплектация SE R-line
🔹
Пробег:  81 000км.
👍
🔹
Двигатель:  надежный 2,0л. на 184л.с.
🐎
💨
🔹
Коробка:  АКПП
🔹
Привод: полный AWD
🔹
Салон из кожи
🐄
🛋
📜
Историю автомобиля предоставлю по запросу!
💰
Цена: всего 2 550 000
🇷🇺
🪙
под ключ!
🔑
🔎
36МА1186405ИC"
389,https://t.me/AutoWorld_Georgia/389,2025-10-13T03:07:24+00:00,,VW,TAOS,2022,SE,47 000км.,"надежный 1,5л. на 158л.с.",158.0,,Aisin -8,передний FWD,"""завод""!!!",из кожи,,,,,,,12102254,,,"🚀
🌟
VW TAOS 03/22г.
🚗
✨
🔹
комплектация SE
🔹
Пробег:  47 000км.
👍
🔹
Двигатель:  надежный 1,5л. на 158л.с.
🐎
💨
🔹
Коробка: Aisin -8
🔹
Привод: передний FWD
🔹
Безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля незначительная, предоставлю по запросу!
💰
Цена: всего 2 250 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
АИ12102254ИC"
403,https://t.me/AutoWorld_Georgia/403,2025-10-14T11:58:36+00:00,,KIA,SORENTO,2021,S,83 200км.,"надежный 2,5л. на 191л.с.",191.0,,AКПП -8,передний FWD,"""завод""!!!",из кожи,,,,,,,14101454,,,"🚀
🌟
KIA SORENTO 07/21г.
🚗
✨
🔹
комплектация S
🔹
Пробег:  83 200км.
👍
🔹
Двигатель:  надежный 2,5л. на 191л.с.
🐎
💨
🔹
Коробка: AКПП -8
🔹
Привод: передний FWD
🔹
Безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля незначительная, предоставлю по запросу!
💰
Цена: всего 3 250 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
АИГ14101454ИC"
413,https://t.me/AutoWorld_Georgia/413,2025-10-14T12:24:13+00:00,,VW,Passat,2021,LIMITED EDITION,78 400км.,"надежный 2,0л. на 174л.с.",174.0,,Aisin,передний FWD,"""завод""!!!",из кожи,,,,,,,,,,"🚀
🌟
VW Passat 11/21г.
🚗
✨
🔹
комплектация LIMITED EDITION
🔹
Пробег:  78 400км.
👍
🔹
Двигатель:  надежный 2,0л. на 174л.с.
🐎
💨
🔹
Коробка: Aisin
🔹
Привод: передний FWD
🔹
Кузов и безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля минимальная (бампер) , предоставлю по запросу!
💰
Цена: всего 2 500 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
46МА1177521ИC"
423,https://t.me/AutoWorld_Georgia/423,2025-10-14T13:03:46+00:00,,GENESIS,G70,2021,Base,32 000км.,"надежный 2,0-turbo на 252л.с.",252.0,,Aвтомат,полный АWD,"""завод""!!!",из белой кожи,,,,,,,,,,"🚀
🌟
GENESIS G70 12/21г.
🚗
✨
🔹
комплектация Base
🔹
Пробег:  32 000км.
👍
🔹
Двигатель:  надежный 2,0-turbo на 252л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD
🔹
Безопасность ""завод""!!!
🔹
Салон из белой кожи
🐄
🛋
📜
История автомобиля незначительная, предоставлю по запросу!
💰
Цена: всего 2 780 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
37АП9070ИC"
434,https://t.me/AutoWorld_Georgia/434,2025-10-14T18:50:41+00:00,,Audi,Q5,2021,PREMIUM,67 000км.,"надежный 2,0-turbo на 261л.с.",261.0,,Aвтомат,полный АWD,"""завод""!!!",из кожи,,,,,,,,,,"🚀
🌟
Audi Q5 07/21г.
🚗
✨
🔹
комплектация PREMIUM
🔹
Пробег:  67 000км.
👍
🔹
Двигатель:  надежный 2,0-turbo на 261л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD
🔹
Безопасность ""завод""!!!
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля незначительная, предоставлю по запросу!
💰
Цена: всего 3 600 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
38MA1187159ИC"
445,https://t.me/AutoWorld_Georgia/445,2025-10-15T10:58:26+00:00,,BMW,X3,2022,xDrive 30I,78 500км.,"надежный 2,0-turbo на 248л.с.",248.0,,Aвтомат,полный АWD,,из кожи,,,,,,,15101302,,,"🚀
🌟
BMW X3 06/22г.
🚗
✨
🔹
комплектация xDrive 30I
🔹
Пробег:  78 500км.
👍
🔹
Двигатель:  надежный 2,0-turbo на 248л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD
🔹
Салон из кожи
🐄
🛋
📜
Историю автомобиля, предоставлю по запросу!
💰
Цена: всего 3 850 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
WA15101302РР"
455,https://t.me/AutoWorld_Georgia/455,2025-10-15T10:58:42+00:00,,GENESIS,GV70,2022,,50 500км.,"надежный 2,5-turbo на 300л.с.",300.0,,Aвтомат,полный АWD,,из белой кожи,,,,,,,15101302,,,"🚀
🌟
GENESIS GV70 04/22г.
🚗
✨
🔹
Пробег:  50 500км.
👍
🔹
Двигатель:  надежный 2,5-turbo на 300л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD
🔹
Салон из белой кожи
🐄
🛋
📜
Историю автомобиля, предоставлю по запросу!
💰
Цена: всего 4 050 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
WA15101302PP2"
465,https://t.me/AutoWorld_Georgia/465,2025-10-15T19:02:42+00:00,,JEEP,Wrangler Sahara,2021,макс. Unlimited !!!,51 000км.,"Plugin Hybrid 2,0-turbo на 375л.с.",375.0,,Aвтомат,полный АWD,"и кузов ""завод""!!!",в отличном состоянии. Парктроники. Съемная крыша.,,,,,,,17101328,,,"🚀
🌟
JEEP Wrangler Sahara 10/21г.
🚗
✨
🔹
комплектация макс. Unlimited !!!
🔹
Пробег:  51 000км.
👍
🔹
Двигатель:  Plugin Hybrid 2,0-turbo на 375л.с.
🐎
💨
✈️
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD
🔹
Безопасность и кузов ""завод""!!!
🔹
Камеры 360°, Кожаный салон в отличном состоянии. Парктроники. Съемная крыша.
Акустика Alpine с сабвуфером. BSM, адаптивный круиз, дистроник, предупреждение столкновений, подогревы сидений и руля.
Новая резина, оригинальные диски.
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 4 200 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
АРГ17101328ИC
💵
82"
472,https://t.me/AutoWorld_Georgia/472,2025-10-16T10:50:12+00:00,,BMW,X3 (G01 рест.),2022,SDrive 30I М-пакет,47 000км.,"надежный 2,0-turbo на 248л.с.",248.0,,Aвтомат,задний RWD,"""завод""",из кожи,,,,,,,16100832,,,"🚀
🌟
BMW X3 (G01 рест.) 03/22г.
🚗
✨
🔹
комплектация SDrive 30I М-пакет
🔹
Пробег:  47 000км.
👍
🔹
Двигатель:  надежный 2,0-turbo на 248л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: задний RWD
🔹
Безопасность ""завод""
🏭
🔹
Салон из кожи
🐄
🛋
, русифицирована.
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 3 580 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
АРГ16100832ИС
💵
82"
482,https://t.me/AutoWorld_Georgia/482,2025-10-16T11:45:41+00:00,,Chevrolet,Equinox,2022,LS,71 500км.,"надежный 1,5-turbo на 170л.с.",170.0,,Aвтомат,полный AWD,"""восстановлена""",из качественного текстиля,,,,,,,,,,"🚀
🌟
Chevrolet Equinox 03/22г.
🚗
✨
🔹
комплектация LS
🔹
Пробег:  71 500км.
👍
🔹
Двигатель:  надежный 1,5-turbo на 170л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный AWD
🔹
Безопасность ""восстановлена""
🔹
Салон из качественного текстиля
🛋
📜
История автомобиля незначительная, предоставлю по запросу!
💰
Цена: всего 2 000 000
🇷🇺
🪙
под ключ!
🔑
🔎
78МА1186645ИС
💵
82"
491,https://t.me/AutoWorld_Georgia/491,2025-10-17T18:24:27+00:00,,Ford,Bronco Sport,2021,Big Band,78 400км.,"надежный 1,5-turbo на 181л.с.",181.0,,Aвтомат,полный АWD/FWD,"""-1"" ""завод""",из качественного текстиля,,,,,,,,,,"🚀
🌟
Ford Bronco Sport 07/21г.
🚗
✨
🔹
комплектация Big Band
🔹
Пробег:  78 400км.
👍
🔹
Двигатель:  надежный 1,5-turbo на 181л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD/FWD
🔹
кузов и безопасность ""-1"" ""завод""
🏭
🔹
Салон из качественного текстиля
🛋
📜
История автомобиля минимальная, предоставлю по запросу!
💰
Цена: всего 2 070 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
34АП9057ИС
💵
83"
501,https://t.me/AutoWorld_Georgia/501,2025-10-18T12:07:21+00:00,,Toyota,RAV4,2021,Limited,49 600км.,"надежный 2,5л.на 203л.с.",203.0,,Aвтомат,полный АWD,"""завод""",из кожи,,,,,,,,,,"🚀
🌟
Toyota RAV4 08/21г.
🚗
✨
🔹
комплектация Limited
🔹
Пробег:  49 600км.
👍
🔹
Двигатель:  надежный 2,5л.на 203л.с.
🐎
💨
🔹
Коробка: Aвтомат
🔹
Привод: полный АWD
🔹
Безопасность ""завод""
🏭
🔹
Салон из кожи
🐄
🛋
📜
История автомобиля незначительная, предоставлю по запросу!
💰
Цена: всего 2 970 000
🇷🇺
🪙
под ключ!
🔑
(торг)
🔎
93МА1179286ИС
💵
83"
